,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
112,168,313,102,3,2.0,3.0,8.27,0,2.4286848423805174
113,400,333,117,4,5.0,4.0,9.66,1,3.0619159048040965
114,444,327,114,4,4.22,4.78,9.33,1,2.994709831425973
115,190,324,112,5,5.0,5.0,9.08,1,3.188689679377973
116,386,335,117,5,5.0,5.0,9.82,1,3.3393942075592205
117,28,295,93,1,2.0,1.98,7.23,0,1.7270968040452728
118,176,320,111,4,4.5,3.5,8.87,1,2.9010286382322246
119,457,299,100,2,2.0,2.0,7.88,0,2.1043659430285198
120,110,304,103,5,5.0,4.0,8.64,0,2.99382418628139
121,81,312,105,3,2.0,3.0,8.02,1,2.4830285456864782
122,162,298,99,1,1.5,3.0,7.46,0,1.7739374006421469
123,254,335,115,4,4.5,4.5,9.68,1,3.0659890001603465
124,403,324,109,3,3.5,3.0,8.94,1,2.6703909320739747
125,484,304,103,5,5.0,3.0,7.92,0,2.8471927534563926
126,482,323,107,4,3.0,2.5,8.48,1,2.8216032787853513
127,489,322,112,3,3.0,4.0,8.62,1,2.605221406373976
128,462,301,102,3,2.5,2.0,8.13,1,2.5054305701458532
129,131,300,99,2,1.5,2.34,7.82,0,2.0921466569597698
130,372,324,110,3,3.5,3.0,9.22,1,2.727414267061474
131,79,302,98,2,2.62,2.38,7.72,1,2.177038575437605
132,60,305,99,2,3.33,2.67,7.93,0,2.1145486814191443
133,148,326,114,3,3.0,3.0,9.11,1,2.7050122426020993
134,68,316,107,2,3.5,3.5,8.64,1,2.3644009618251016
135,435,306,103,3,3.5,3.0,8.21,0,2.416465556311768
136,387,302,101,2,2.48,3.5,7.97,0,2.1226948721316443
137,188,335,118,5,4.5,3.5,9.44,1,3.2620053957904718
138,192,322,113,5,4.39,4.23,8.95,1,3.1622145595623485
139,126,337,115,5,4.49,4.75,9.66,1,3.306809444709221
140,19,318,110,3,4.0,3.0,8.8,0,2.5366218693211406
141,378,290,100,1,1.5,2.0,7.56,0,1.7943028774233964
142,256,307,110,4,4.0,4.5,8.37,0,2.6939438590668914
143,40,307,108,2,4.0,3.5,7.7,0,2.06770808482227
144,454,319,103,3,2.5,4.0,8.76,1,2.6337330738677256
145,205,298,105,3,3.5,4.0,8.54,0,2.4836716296898915
146,206,295,99,2,2.5,3.0,7.65,0,2.0575253464316456
147,256,307,110,4,4.0,4.5,8.37,0,2.6939438590668914
148,93,300,97,2,3.46,3.11,7.83,0,2.0941832046378948
149,263,308,103,2,2.5,4.0,8.36,1,2.3073776268376025
150,459,312,100,1,3.0,3.0,8.53,1,2.0971053974606026
151,377,297,96,2,2.5,2.0,7.43,0,2.0127212975128965
152,419,306,101,3,2.66,2.56,7.53,0,2.2779803141992705
153,219,324,110,4,3.0,3.5,8.97,1,2.921394115013474
154,309,312,108,3,3.5,3.0,8.53,0,2.4816350820117665
155,6,330,115,5,4.5,3.0,9.34,1,3.241639919009222
156,59,300,99,1,3.0,2.0,6.8,1,1.7447826491449845
157,112,293,103,4,1.88,2.5,7.55,0,2.526946949460645
158,249,324,110,3,3.5,4.0,8.87,1,2.6561350983271
159,236,326,111,5,4.5,4.0,9.23,1,3.2192378945498477
160,39,304,105,1,3.0,1.5,7.5,0,1.7820835913546467
161,217,321,111,4,4.49,4.49,9.26,1,2.980453997679098
162,220,312,104,3,3.5,3.5,8.42,0,2.459233057552392
163,61,312,102,2,3.0,3.1,8.22,0,2.1736085640847684
164,118,290,103,3,2.07,2.57,7.45,0,2.261687932774271
165,380,296,96,2,2.16,2.0,7.56,0,2.0391964173285206
166,153,299,99,1,1.69,3.0,7.53,0,1.7881932343890217
167,92,299,97,3,5.0,3.5,7.66,0,2.304455434014895
168,147,324,113,2,2.75,2.87,8.99,1,2.4356801305594753
169,409,297,101,3,2.0,4.0,7.67,1,2.411749376952105
170,174,323,113,4,4.0,4.5,9.23,1,2.9743443546447232
171,39,306,107,1,3.98,3.46,7.7,0,1.822814544917146
172,371,305,98,1,2.0,2.23,7.77,0,1.8370703786640206
173,185,316,106,2,2.5,4.0,8.32,0,2.193974040866018
174,483,328,113,4,4.0,2.5,8.77,1,2.880663161450975
